user_id,mean_speed,stddev_speed,problem_count,percent_correct,std_perc_correct,user_id,hint_overall,hint_stddev,hint_first,hint_second,hint_third,correct_first,correct_second,correct_third
178433,26.15411017,16.11073663,118,0.813559322,0.3911227,178433,0.033898305,0.181739148,0.038461538,0.076923077,0.038461538,0.807692308,0.730769231,0.807692308
293374,19.78478049,14.07077283,123,0.902439024,0.297933708,293374,0.016260163,0.126991663,0.028571429,0,0.028571429,0.857142857,0.971428571,0.914285714
241895,22.56092308,15.37704984,78,0.705128205,0.4589365,241895,0.076923077,0.268194094,0.214285714,0.071428571,0.071428571,0.428571429,0.857142857,0.642857143
281817,25.51690258,15.94116312,349,0.756446991,0.42984224,281817,0.076923077,0.266849754,0.157894737,0.052631579,0.04,0.684210526,0.75,0.786666667
311295,29.689,15.98113039,69,0.811594203,0.393900641,311295,0.056338028,0.232214429,0.117647059,0.0625,0,0.705882353,0.8125,0.785714286
235136,25.50428761,15.79497332,226,0.694690265,0.461560774,235136,0.2,0.400872411,0.282051282,0.184210526,0.210526316,0.631578947,0.710526316,0.657894737
100149,23.60132303,16.99501695,67,0.686567164,0.467389761,100149,0.164179104,0.373233818,0.3,0.1,0,0.5,0.9,0.7
171965,27.39548544,14.92693093,103,0.640776699,0.482118872,171965,0.123809524,0.330943816,0.266666667,0.071428571,0.142857143,0.5,0.642857143,0.538461538
248048,22.04932468,15.66772773,77,0.779220779,0.417491778,248048,0.084337349,0.27958241,0.086956522,0.045454545,0.090909091,0.590909091,0.818181818,0.888888889
278306,24.78724265,15.5722307,136,0.838235294,0.369596141,278306,0.071428571,0.258464117,0.105263158,0.060606061,0,0.685714286,0.909090909,0.939393939
350487,23.04523214,12.95504515,56,0.851190476,0.35345134,350487,0.016949153,0.130188911,0,0,0.066666667,0.866666667,0.933333333,0.733333333
140840,25.26298481,16.06841955,176,0.568181818,0.496742636,140840,0.284090909,0.452267017,0.3,0.35,0.25,0.45,0.55,0.7
302868,25.30644643,16.36395832,56,0.553571429,0.50162075,302868,0.368421053,0.486664263,0.125,0.125,0.25,0.75,0.75,0.625
253245,29.10091667,15.17282131,324,0.802469136,0.398752019,253245,0.079754601,0.271329379,0.075949367,0.038461538,0.051282051,0.743589744,0.820512821,0.884615385
338694,22.84687437,15.37317902,199,0.816582915,0.371545055,338694,0.123152709,0.329424808,0.1875,0.125,0.085106383,0.770833333,0.770833333,0.911111111
277790,30.53813333,15.91831691,105,0.685714286,0.466457305,277790,0.252336449,0.436397299,0.318181818,0.238095238,0.15,0.619047619,0.714285714,0.8
289707,23.21637917,15.49854513,240,0.6875,0.464481084,289707,0.098360656,0.298413806,0.204545455,0.170731707,0.075,0.609756098,0.725,0.7
283740,24.82679348,16.89545809,92,0.757246377,0.428255002,283740,0.070707071,0.257639412,0.08,0.181818182,0.045454545,0.681818182,0.636363636,0.8
362818,26.9362375,16.90309535,80,0.6125,0.463715048,362818,0.179775281,0.386175824,0.35,0.166666667,0.117647059,0.555555556,0.705882353,0.588235294
219778,22.3205234,13.6704946,235,0.825531915,0.380321549,219778,0.112970711,0.317221331,0.09375,0.081967213,0.127272727,0.786885246,0.836065574,0.854545455
226976,24.98519108,14.65659708,157,0.802547771,0.399350281,226976,0.075471698,0.264985546,0.105263158,0.027777778,0.083333333,0.675675676,0.861111111,0.805555556
107479,33.6093111,19.55774713,52,0.538461538,0.503382226,107479,0.037037037,0.190625877,0,0,0.4,0.7,0.6,0.4
183214,21.92582803,14.15223589,157,0.662420382,0.474397595,183214,0.20625,0.405882453,0.322580645,0.129032258,0.148148148,0.580645161,0.709677419,0.62962963
342460,26.21807143,14.38472424,56,0.916666667,0.264001837,342460,0.071428571,0.259870097,0.066666667,0.133333333,0.066666667,0.933333333,0.866666667,0.933333333
118598,25.30355584,14.87013409,425,0.825882353,0.379657536,118598,0.065882353,0.248368707,0.059405941,0.08,0.051020408,0.811881188,0.82,0.867346939
228069,20.65402941,13.36462649,68,0.720588235,0.452046367,228069,0.101449275,0.304134623,0.153846154,0.153846154,0.076923077,0.769230769,0.769230769,0.692307692
325424,26.40269072,16.64159772,97,0.883161512,0.311957815,325424,0.06122449,0.240974248,0.115384615,0.076923077,0.04,0.846153846,0.84,0.92
136517,26.10794506,14.89440713,62,0.758064516,0.431751442,136517,0.016129032,0.127000127,0,0,0,0.615384615,0.692307692,0.846153846
170270,23.90408962,16.47567158,119,0.478991597,0.501670759,170270,0.180327869,0.386045718,0.333333333,0.25,0.133333333,0.3125,0.4,0.666666667
121925,16.2510529,15.56757402,320,0.89375,0.308639953,121925,0.006006006,0.077381623,0.006622517,0.015151515,0,0.849315068,0.848484848,0.909090909
336103,23.7122069,15.54992446,145,0.788505747,0.394432302,336103,0.095890411,0.295454463,0.125,0.125,0.0625,0.71875,0.84375,0.90625
309882,27.83671675,16.48165971,406,0.751231527,0.432832714,309882,0.128078818,0.334589859,0.097560976,0.12195122,0.085365854,0.841463415,0.817073171,0.841463415
301235,25.25790335,16.31367729,269,0.646840149,0.478842721,301235,0.215613383,0.412013729,0.326086957,0.173913043,0.130434783,0.456521739,0.695652174,0.760869565
248784,27.0586338,16.37898682,71,0.830985915,0.377431753,248784,0.014084507,0.118678166,0,0,0.071428571,0.857142857,0.857142857,0.785714286
177727,19.37882813,14.46516976,64,0.8125,0.393397896,177727,0.109375,0.314576435,0.214285714,0.142857143,0,0.714285714,0.714285714,0.857142857
330531,27.73311712,15.0656311,111,0.675675676,0.470244852,330531,0.261261261,0.441314394,0.294117647,0.235294118,0.235294118,0.705882353,0.705882353,0.705882353
345088,24.63850526,14.71715231,95,0.919298246,0.251312345,345088,0.031578947,0.175804024,0,0.038461538,0.076923077,0.961538462,0.961538462,0.884615385
130995,20.42512926,16.24941501,458,0.759825328,0.427656547,130995,0.113247863,0.317234649,0.097222222,0.082352941,0.05952381,0.735714286,0.80952381,0.829268293
193487,29.40614504,16.58069389,131,0.778625954,0.4167655,193487,0.198473282,0.400381497,0.321428571,0.178571429,0.071428571,0.642857143,0.75,0.928571429
